label,url,status_code,content_type,fetched_at_utc,bytes,sha256,filename
앤디포스_naver_board_main,https://finance.naver.com/item/board.naver?code=238090,200,text/html;charset=UTF-8,20260309T052052Z,152243,b480ef9178d86f0f1f341823ce8f59b92cd8f99768123494f8b7d22638895afb,20260309T052052Z_naver_board_main.html
앤디포스_post_01,https://finance.naver.com/item/board_read.naver?code=238090&nid=414175460&page=3,200,text/html;charset=UTF-8,20260309T052052Z,140197,278ad5fa4dd637d08c0eaf488e24d73b3178ce240c2e8dc06f3e19fffd1cccad,20260309T052052Z_post_01.html
앤디포스_post_02,https://finance.naver.com/item/board_read.naver?code=238090&nid=414316272&page=1,200,text/html;charset=UTF-8,20260309T052052Z,139689,b9c4d150778c81e8e46912541bee93ecf5b002b74c82a54d8c49863d54244185,20260309T052052Z_post_02.html
