label,url,status_code,content_type,fetched_at_utc,bytes,sha256,filename
이노룰스_naver_board_main,https://finance.naver.com/item/board.naver?code=296640,200,text/html;charset=UTF-8,20260309T052056Z,153596,5394ac2503dabd6e6d1b14bd2b4c6af537af16f28408d31b1a5f6aaa727290d3,20260309T052056Z_naver_board_main.html
이노룰스_post_01,https://finance.naver.com/item/board_read.naver?code=296640&nid=412799365&page=3,200,text/html;charset=UTF-8,20260309T052057Z,140259,e299df5098384506eefbab7b008f6b631ed2b588e7113a1c33742234255e2d64,20260309T052057Z_post_01.html
이노룰스_post_02,https://finance.naver.com/item/board_read.naver?code=296640&nid=413907812&page=2,200,text/html;charset=UTF-8,20260309T052057Z,140078,6d282a49914731b15f3a057daa5c3babd754d6e3861491bb495d2923df24bdef,20260309T052057Z_post_02.html
