label,url,status_code,content_type,fetched_at_utc,bytes,sha256,filename
흥구석유_naver_board_main,https://finance.naver.com/item/board.naver?code=024060,200,text/html;charset=UTF-8,20260309T051623Z,155030,4f1f354ad68bf70d0c511b706048ad72eb1340540430dec5b9c0abadd3398e4b,20260309T051623Z_naver_board_main.html
흥구석유_post_01,https://finance.naver.com/item/board_read.naver?code=024060&nid=414489017&page=5,200,text/html;charset=UTF-8,20260309T051623Z,142059,d6be1f84481fa24ec8ee5f5ffd7ab52a0bafe8dc200e31db8ac0fb8fa78e65ea,20260309T051623Z_post_01.html
흥구석유_post_02,https://finance.naver.com/item/board_read.naver?code=024060&nid=414497691&page=1,200,text/html;charset=UTF-8,20260309T051623Z,142016,73dd759b1ee8afa0ee8a96a24e040899c2ed809bb755485910994dcedbc1e4da,20260309T051623Z_post_02.html
흥구석유_post_03,https://finance.naver.com/item/board_read.naver?code=024060&nid=414498189&page=1,200,text/html;charset=UTF-8,20260309T051623Z,142236,0bfa9ea65a4be930697f9de33fa993530f3d52ba5d226f9d160e0f25a328f33a,20260309T051623Z_post_03.html
흥구석유_post_04,https://finance.naver.com/item/board_read.naver?code=024060&nid=414495452&page=2,200,text/html;charset=UTF-8,20260309T051623Z,142077,78d3bb2c0f0f9dc9d0f858e79136e8b1c6db26551022bff70ea2f642137341cc,20260309T051623Z_post_04.html
