date,title,href,author,view,up,down,page
2026.02.05 14:37,비엘팜텍처럼 [ 2 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=412146548&page=2,부자할끄다,287,4,1,2
2026.02.04 09:19,5% 이상 하락했어요 😞,https://finance.naver.com/item/board_read.naver?code=008500&nid=411971314&page=3,일정실업 소식,463,1,0,3
2026.02.03 19:26,역시 액분해도,https://finance.naver.com/item/board_read.naver?code=008500&nid=411936797&page=3,Gogogogo,247,2,0,3
2026.02.03 10:42,자. 오늘로 100주도 털고 간다. 이 회사와 ... [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=411871736&page=3,마켓킬러,243,2,0,3
2026.02.03 09:55,"역시 무개념의 회사,  오늘도 역으로 가네. 귀...",https://finance.naver.com/item/board_read.naver?code=008500&nid=411862551&page=3,마켓킬러,194,1,0,3
2026.02.03 03:05,일정 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=411839234&page=3,Dolce,232,3,1,3
2026.02.02 19:12,일정실업,https://finance.naver.com/item/board_read.naver?code=008500&nid=411823922&page=3,mc4366,92,0,0,3
2026.02.02 17:25,또 200억 마추려고 꾸역꾸역 기어 오르겠네. ...,https://finance.naver.com/item/board_read.naver?code=008500&nid=411818214&page=3,마켓킬러,129,1,0,3
2026.02.02 14:32,"이거 완전히 돌아이네  .ㅎ , 시장 분위기도 ... [ 1 ]",https://finance.naver.com/item/board_read.naver?code=008500&nid=411798366&page=3,마켓킬러,75,1,1,3
2026.02.02 12:35,-----,https://finance.naver.com/item/board_read.naver?code=008500&nid=411778991&page=3,mc4366,53,0,1,3
2026.01.30 10:57,동수씨도 불장에 돈복사 하느라 바쁘다. ㅎ,https://finance.naver.com/item/board_read.naver?code=008500&nid=411608119&page=3,마켓킬러,135,0,1,3
2026.01.30 10:57,일정실업,https://finance.naver.com/item/board_read.naver?code=008500&nid=411608093&page=3,mc4366,122,0,1,3
2026.01.29 15:54,그래도 범사에 감사해 하자. 불장에 별 볼일 없... [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=411533208&page=3,마켓킬러,161,0,1,3
2026.01.29 14:18,사람도 직장도 학교도 그리고 투자도,https://finance.naver.com/item/board_read.naver?code=008500&nid=411518578&page=3,마켓킬러,132,2,1,3
2026.01.29 10:14,이거 올라봐야,https://finance.naver.com/item/board_read.naver?code=008500&nid=411479753&page=3,마켓킬러,140,1,0,3
2026.01.29 09:58,[속보] 고동수 회장과 그의 일가와 임원에 더하... [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=411476410&page=3,마켓킬러,171,0,2,3
