label,url,status_code,content_type,fetched_at_utc,bytes,sha256,filename
일정실업_naver_board_main,https://finance.naver.com/item/board.naver?code=008500,200,text/html;charset=UTF-8,20260309T060151Z,154122,0e663eee89082fd54a81e6ac415a01ac4e65568611634859dd90de229a22c913,20260309T060151Z_naver_board_main.html
일정실업_post_01,https://finance.naver.com/item/board_read.naver?code=008500&nid=409919401&page=9,200,text/html;charset=UTF-8,20260309T060151Z,141306,c4103a1b7fe21a834aeb559830044459b33099d1ad74dae275a8f675520cbc94,20260309T060151Z_post_01.html
일정실업_post_02,https://finance.naver.com/item/board_read.naver?code=008500&nid=409866625&page=9,200,text/html;charset=UTF-8,20260309T060152Z,140885,6fe56e7cbd7c94b552b4aead5d9c210d6f6e3856f950fb0629843ddb636d8b87,20260309T060152Z_post_02.html
일정실업_post_03,https://finance.naver.com/item/board_read.naver?code=008500&nid=409923632&page=8,200,text/html;charset=UTF-8,20260309T060152Z,141256,2337fd7031716149fb3e81d36c32f2bc542e880ec093a88369036407c555e7b3,20260309T060152Z_post_03.html
일정실업_post_04,https://finance.naver.com/item/board_read.naver?code=008500&nid=413514706&page=2,200,text/html;charset=UTF-8,20260309T060152Z,141006,a7f982e1aab72fee2f9e9212f2b91192f718d5590fbb67ff270d4672e5eeaa99,20260309T060152Z_post_04.html
일정실업_post_05,https://finance.naver.com/item/board_read.naver?code=008500&nid=409942431&page=7,200,text/html;charset=UTF-8,20260309T060152Z,140966,2e92d422376e906b395a156c26dca565dd07ad465b7f337ee32b8b6e566f3cea,20260309T060152Z_post_05.html
